path,label
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_195_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_396_aug_1.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_462_aug_2.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_481_aug_3.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_526_aug_0.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/02366.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/2OQZ7I4L8W.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_18_aug_0.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/01591.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/00323.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1YFED91YQE.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_94_aug_3.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_447_aug_3.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/01375.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/00124.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/3IRP68R9SV.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_421_aug_1.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/2IDVN7PN0V.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_141_aug_3.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_250_aug_3.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_226_aug_3.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/02217.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_510_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/02368.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/0U75LK71JC.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_357_aug_0.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/02937.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/2DXSDTUDKP.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/01425.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/01577.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/2ZX0J2B9U7.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_53_aug_4.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_224_aug_2.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1EH8DFRJU4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/01270.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_629_aug_2.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_177_aug_1.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/04043.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_2_aug_1.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1D7UYCWZU0.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/01905.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_479_aug_3.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_355_aug_2.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/2EBF4XNTGG.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_54_aug_3.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/2L1R7Z6S87.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_44_aug_0.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1B4FBQRLX0.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_260_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/01047.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_356_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_649_aug_0.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/01929.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1NP7CXFF4Q.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_70_aug_3.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_194_aug_4.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_653_aug_0.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/3G8UA2LLOU.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/04058.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_512_aug_0.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/0Z612IL6R8.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_557_aug_4.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1OU1JT8ZX2.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/00157.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_153_aug_1.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_169_aug_4.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/2FKP71PQRR.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_99_aug_0.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_154_aug_2.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_69_aug_2.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_334_aug_4.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_140_aug_4.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_408_aug_0.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_118_aug_3.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_159_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/02670.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_435_aug_3.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/01535.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/00262.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_149_aug_3.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_375_aug_2.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/0WFV9IQDOK.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/2O6C0UY6BB.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1QPZRBB91R.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_272_aug_2.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/2KGDOCDQ44.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/03976.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/00829.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/00752.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/03689.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/0LWU4RBM72.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_199_aug_1.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/03045.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_419_aug_1.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_683_aug_2.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_2_aug_4.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_300_aug_4.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_313_aug_2.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/02067.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/03833.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/00747.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1V932WWQUV.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_421_aug_0.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/2JXA4LALBJ.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_631_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/0GNXRKHFI0.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_88_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_451_aug_2.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_48_aug_4.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1G4CT6RUT7.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/02258.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_222_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/3BQ4EJO8OM.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_581_aug_0.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/0CZO6195T0.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/02809.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_171_aug_3.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/2T1JH2S25Y.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1GYAB8PWOZ.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1X5ML6Y9ZY.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1TL0D1C3N4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/2YIUQZV96D.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_179_aug_3.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_174_aug_1.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_418_aug_3.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/00966.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_471_aug_2.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_452_aug_1.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/03496.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/02989.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_581_aug_3.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_563_aug_4.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/3IA8NI7P9A.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_569_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/01199.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/0MVYCS3UKI.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/2GBKV74O2K.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_230_aug_2.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_535_aug_0.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/03473.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_66_aug_4.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_642_aug_3.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/00042.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_413_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/02359.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1VPXL6HURE.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_598_aug_1.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_290_aug_4.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_179_aug_0.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_375_aug_1.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1XARY62V9I.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1AUEQMH2T6.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_616_aug_0.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1RBJ502MRL.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/00741.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/00079.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_539_aug_0.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/00860.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_343_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_124_aug_1.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_679_aug_1.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_347_aug_2.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_59_aug_0.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_320_aug_1.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_434_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_589_aug_3.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_280_aug_2.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_261_aug_3.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/01923.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/01664.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_41_aug_2.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/02711.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1CO38HO6L5.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_468_aug_1.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_313_aug_0.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_12_aug_0.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_406_aug_1.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/00617.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_370_aug_0.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/03795.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/00863.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/3IFH62KWCG.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1HQJWSKW20.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_276_aug_3.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_344_aug_3.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/3CCHPHB4F2.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_97_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/2WWAU5WTDY.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_80_aug_0.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/0Z6MRS3CVN.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_680_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/00430.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_149_aug_2.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_4_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_492_aug_2.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_134_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_598_aug_2.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_74_aug_0.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_469_aug_2.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/01110.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1TURDST0FO.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_389_aug_1.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/02961.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_650_aug_2.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_386_aug_4.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_335_aug_4.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_687_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_657_aug_1.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_297_aug_4.jpg,Fake
